Pclass,Sex,Age,Fare,Cabin,Embarked,CabinKnown,Title,Family
3,1,34,0,7,1,0,1,0
3,0,47,2,7,2,0,3,1
2,1,62,0,7,1,0,1,0
3,1,27,2,7,2,0,1,0
3,0,22,0,7,2,0,3,2
3,1,14,0,7,2,0,1,0
3,0,30,2,7,1,0,2,0
2,1,26,1,7,2,0,1,2
3,0,18,1,7,0,0,3,0
3,1,21,2,7,2,0,1,2
3,1,20,1,7,2,0,1,0
1,1,46,2,7,2,0,1,0
1,0,23,0,1,2,1,3,1
2,1,63,2,7,2,0,1,1
1,0,47,0,4,2,1,3,1
2,0,24,1,7,0,0,3,1
2,1,35,2,7,1,0,1,0
3,1,21,1,7,0,0,1,0
3,0,27,1,7,2,0,2,1
3,0,45,0,7,0,0,3,0
1,1,55,1,7,0,0,1,1
3,1,9,1,7,2,0,4,1
1,0,54,0,7,2,0,3,0
1,1,21,2,7,0,0,1,1
1,0,48,1,1,0,1,3,4
3,1,50,2,7,2,0,1,1
1,0,22,0,1,0,1,2,1
3,1,22,2,7,0,0,1,0
1,1,41,0,0,2,1,1,0
3,1,5,0,7,0,0,1,2
2,1,50,2,7,2,0,1,1
2,1,24,2,7,2,0,1,2
3,0,33,0,7,2,0,3,3
3,0,32,1,7,2,0,3,3
1,1,30,2,2,0,1,1,1
3,1,18,2,7,0,0,1,0
3,0,-10,0,7,2,0,2,0
3,0,21,0,7,2,0,2,0
3,1,25,1,7,2,0,1,0
3,1,2,1,7,2,0,1,0
3,1,39,1,7,0,0,1,1
1,1,10,1,3,2,1,1,0
3,1,41,0,7,2,0,1,0
2,0,30,2,7,2,0,3,0
1,0,45,0,3,2,1,3,1
3,1,25,0,7,2,0,1,0
1,1,45,1,0,0,1,1,0
3,1,-5,0,7,1,0,1,0
1,0,60,1,3,0,1,3,0
3,0,36,1,7,2,0,3,2
1,1,24,2,2,2,1,1,1
2,1,27,0,7,0,0,1,0
2,0,20,2,7,2,0,2,3
1,0,28,1,2,2,1,2,5
2,1,67,2,7,0,0,1,0
3,1,10,2,7,1,0,4,5
3,1,35,1,7,2,0,1,0
3,1,25,0,5,2,1,1,0
3,1,19,2,7,2,0,1,1
1,0,36,2,1,0,1,2,0
3,1,17,0,7,2,0,1,0
