Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,CabinKnown,Title,Family
0,3,1,22,0,7,2,0,1,1
1,1,0,38,2,2,0,1,3,1
1,3,0,26,0,7,2,0,2,0
1,1,0,35,2,2,2,1,3,1
0,3,1,35,0,7,2,0,1,0
0,3,1,47,0,7,1,0,1,0
0,1,1,54,2,4,2,1,1,0
0,3,1,2,1,7,2,0,4,4
1,3,0,27,1,7,2,0,3,2
1,2,0,14,2,7,0,0,3,1
1,3,0,4,1,6,2,1,2,2
1,1,0,58,2,2,2,1,2,0
0,3,1,20,0,7,2,0,1,0
0,3,1,39,2,7,2,0,1,6
0,3,0,14,0,7,2,0,2,0
1,2,0,55,1,7,2,0,3,0
0,3,1,2,2,7,1,0,4,5
1,2,1,-4,1,7,2,0,1,0
0,3,0,31,1,7,2,0,3,1
1,3,0,55,0,7,0,0,3,0
0,2,1,35,1,7,2,0,1,0
1,2,1,34,1,3,2,1,1,0
1,3,0,15,0,7,1,0,2,0
1,1,1,28,2,0,2,1,1,0
0,3,0,8,1,7,2,0,2,4
1,3,0,38,2,7,2,0,3,6
0,3,1,16,0,7,0,0,1,0
0,1,1,19,2,2,2,1,1,5
1,3,0,16,0,7,1,0,2,0
0,3,1,-4,0,7,2,0,1,0
0,1,1,40,2,7,0,0,5,0
1,1,0,9,2,1,0,1,3,1
1,3,0,-10,0,7,1,0,2,0
0,2,1,66,1,7,2,0,1,0
0,1,1,28,2,7,0,0,1,1
0,1,1,42,2,7,2,0,1,1
1,3,1,51,0,7,0,0,1,0
0,3,1,21,0,7,2,0,1,0
0,3,0,18,1,7,2,0,2,2
1,3,0,14,1,7,0,0,2,1
0,3,0,40,1,7,2,0,3,1
0,2,0,27,1,7,2,0,3,1
0,3,1,4,0,7,0,0,1,0
1,2,0,3,2,7,0,0,2,3
1,3,0,19,0,7,1,0,2,0
0,3,1,-4,0,7,2,0,1,0
0,3,1,65,1,7,1,0,1,1
1,3,0,53,0,7,1,0,2,0
0,3,1,49,1,7,0,0,1,2
0,3,0,18,1,7,2,0,3,1
0,3,1,7,2,7,2,0,4,5
0,3,1,21,0,7,2,0,1,0
1,1,0,49,2,3,0,1,3,1
1,2,0,29,1,7,2,0,3,1
0,1,1,65,2,1,0,1,1,1
1,1,1,18,2,2,2,1,1,0
1,2,0,21,1,7,2,0,2,0
0,3,1,28,0,7,0,0,1,0
1,2,0,5,2,7,2,0,2,3
0,3,1,11,2,7,2,0,4,7
0,3,1,22,0,7,0,0,1,0
1,1,0,38,2,1,0,1,2,0
0,1,1,45,2,2,2,1,1,1
0,3,1,4,2,7,2,0,4,5
0,1,1,43,2,7,0,0,1,0
1,3,1,35,1,7,0,0,4,2
1,2,0,29,1,5,2,1,3,0
0,3,1,19,0,7,2,0,1,0
1,3,0,17,0,7,2,0,2,6
0,3,1,26,0,7,2,0,1,2
0,2,1,32,1,7,2,0,1,0
0,3,0,16,2,7,2,0,2,7
0,2,1,21,2,7,2,0,1,0
0,3,1,26,1,7,0,0,1,1
1,3,1,32,2,7,2,0,1,0
0,3,1,25,0,5,2,1,1,0
0,3,1,63,0,7,2,0,1,0
0,3,1,-8,0,7,2,0,1,0
1,2,1,0,2,7,2,0,4,2
1,3,0,30,1,7,2,0,2,0
0,3,1,22,0,7,2,0,1,0
1,3,1,29,1,7,2,0,1,0
1,3,0,61,0,7,1,0,2,0
0,1,1,28,2,7,2,0,1,0
1,2,0,17,1,7,2,0,2,0
1,3,0,33,1,7,2,0,3,3
0,3,1,16,2,7,2,0,1,4
0,3,1,63,0,7,2,0,1,0
1,1,0,23,2,2,2,1,2,5
0,3,1,24,0,7,2,0,1,0
0,3,1,29,0,7,2,0,1,0
0,3,1,20,0,7,2,0,1,0
0,1,1,46,2,4,2,1,1,1
0,3,1,26,1,7,2,0,1,3
0,3,1,59,0,7,2,0,1,0
0,3,1,51,0,7,2,0,1,0
0,1,1,71,2,0,0,1,1,0
1,1,1,23,2,3,0,1,1,1
1,2,0,34,1,7,2,0,3,1
0,2,1,34,1,7,2,0,1,1
0,3,0,28,0,7,2,0,2,0
0,3,1,50,0,7,2,0,1,0
0,1,1,21,2,3,2,1,1,1
0,3,1,33,0,7,2,0,1,0
0,3,1,37,0,7,2,0,1,2
0,3,1,28,0,7,2,0,1,0
1,3,0,21,0,7,2,0,2,0
1,3,1,38,0,7,2,0,1,0
0,3,1,38,0,7,2,0,1,0
1,3,0,17,1,7,1,0,2,1
0,1,1,47,2,2,2,1,1,0
0,3,0,14,1,7,0,0,2,1
0,3,1,22,0,7,2,0,1,0
0,3,0,20,1,7,2,0,2,1
0,3,0,17,1,7,0,0,2,0
0,3,1,21,0,7,2,0,1,0
0,3,1,70,0,7,1,0,1,0
0,2,1,29,1,7,2,0,1,1
0,1,1,24,2,1,0,1,1,1
0,3,0,2,2,7,2,0,2,6
0,2,1,21,2,7,2,0,1,2
0,3,1,66,0,7,2,0,1,0
0,2,1,32,2,7,0,0,1,1
1,2,0,32,1,4,2,1,2,0
0,1,1,54,2,3,2,1,1,1
1,3,1,12,1,7,0,0,4,1
0,3,1,3,0,7,1,0,1,0
1,3,1,24,0,7,2,0,1,0
1,3,0,72,1,5,0,1,2,2
0,3,1,45,0,7,2,0,1,0
0,3,1,33,0,7,0,0,1,0
0,3,1,20,0,7,2,0,1,0
0,3,0,47,1,7,2,0,3,1
1,2,0,29,1,7,2,0,3,1
0,2,1,25,1,7,2,0,1,0
0,2,1,23,1,7,0,0,1,0
1,1,0,19,2,3,2,1,2,2
0,1,1,37,2,2,2,1,1,1
0,3,1,16,1,7,2,0,1,0
0,1,1,24,2,1,0,1,1,0
0,3,0,65,1,7,0,0,3,2
1,3,0,22,0,7,2,0,2,0
1,3,0,24,1,7,2,0,3,1
0,3,1,19,0,7,1,0,1,0
0,2,1,18,1,7,2,0,1,0
0,2,1,19,2,7,2,0,1,2
1,3,1,27,0,7,2,0,1,0
0,3,0,9,2,7,2,0,2,4
0,2,1,36,1,5,2,1,1,2
0,2,1,42,1,7,2,0,5,0
0,2,1,51,1,7,2,0,5,0
1,1,0,22,2,2,2,1,3,1
0,3,1,55,0,7,2,0,1,0
0,3,1,40,1,7,2,0,1,2
0,3,1,67,0,7,2,0,1,0
0,1,1,51,2,7,0,0,1,1
1,3,0,16,0,7,1,0,2,0
0,3,1,30,0,7,2,0,1,0
0,3,1,54,0,7,2,0,1,0
0,3,1,69,2,7,2,0,4,10
0,3,1,44,1,7,2,0,1,1
1,2,0,40,1,7,2,0,3,0
0,3,1,26,0,7,2,0,1,0
0,3,1,17,0,7,2,0,1,0
0,3,1,1,2,7,2,0,4,5
1,3,1,9,1,7,2,0,4,2
1,1,0,69,2,4,2,1,3,1
0,3,0,45,2,7,2,0,3,5
0,1,1,6,1,7,2,0,1,0
0,3,1,28,2,7,2,0,1,0
0,1,1,61,2,1,2,1,1,0
